name,type,citta,nazione,sito_web,num_executives,num_fondi,totale_aum_eur,aum_raw,num_portfolio,check_min_eur,check_max_eur,preferenze_geo,focus_investimento,preferenze_settore,remarks
HLD Conseils Italy,,Milano,Italia,www.groupehld.com,5,,4000000000,4 miliardi,22,50000000,300000000,Europe,,,
Ibla Capital,Private Equity,Roma,Italia,http://www.iblacapital.com,3,2,30000000,30 Mln Euro,7,1000000,5000000,"Europe, Italy","Buy Out, Turnaround","Chemicals and materials, Food and Beverages, Industrial products and services, Machinery, Mechanics, Other manufacturing","Ibla Capital is an independent investment firm focused on special situations. Leveraging the team’s extensive experience in business management and operational improvement, Ibla Capital is well positioned to successfully manage complex situations of corporate discontinuity, including carve-outs and turnarounds. The firm invests in control stakes of companies with revenues between €10 million and €100 million, characterized by underperforming or undervalued margins and significant potential for value creation. Ibla Capital adopts a medium-term investment horizon of 5 to 7 years."
IGI Private Equity,Private Equity,Milano,Italia,,,,,,,,,,,,
Innovative-RFK,Private Equity,Milano,Italia,,,,,,,,,,,,
Intesa Sanpaolo – Direzione Group Shareholdings,Private Equity,Milano,Italia,,,,,,,,,,,,
Invitalia,Private Equity,Roma,Italia,,,,,,,,,,,,
Itago SGR,Private Equity,Venezia,Italia,http://www.itagopartners.it,4,2,128000000,128 Mln Euro,7,7000000,20000000,Italy,Buy Out,"Energy and environment, Fashion, Food and Beverages, Healthcare, Industrial products and services, Mechanics, Other manufacturing","ITAGO SGR SpA, registred as EuVeca fund manager, will manage ITAGO IV, an Italian closed-end investment fund focused on Italian SMEs. ITAGO Srl, the Holding company of ITAGO SGR SpA, is advisor of NEIP III SICAF SpA, investment company focused on small-medium sized Italian companies"
Kairos Partners SGR,Venture Capital,Milano,Italia,,,,,,,,,,,,
Key Capital,Venture Capital,Milano,Italia,http://www.keycapital.it,5,,,,17,,,,Early Stage,ICT,
Komplementa Investment Partners SGR,,Milano,Italia,,,,,,,,,,,,
Kyip Capital Sgr,Private Equity,Milano,Italia,https://kyipcapital.com/,6,2,,"183.000.000,00",6,2500000,25000000,"Europe, Italy","Buy Out, Expansion, Impact Investing","Consumer, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other","KYIP Capital SGR is an independent, Milan based, management company managing over €180 million in assets, committed to supporting high-potential Italian SMEs in realizing their growth ambitions. Through growth equity and buy-out strategies, it offers capital, strategic guidance, and cross-sector expertise to foster long-term success. The firm currently manages two private equity funds, namely KYIP Investment Fund dedicated to the digital transformation, and KYIP Impact Mission Fund dedicated to impact driven enterprises, empowering companies to grow and adopt sustainable, innovative business models, equipping them to navigate the challenges of an ever-evolving market."
L&B Capital SGR,,Milano,Italia,http://www.lbcapitalsgr.it,5,6,137000000,137 mln €,23,100000,,"Italy, USA","Buy Out, Early Stage, Expansion, Non Performing Assets","Aerospace, Biotech, Consumer, Energy and environment, Industrial products and services, Other manufacturing, Retail, Transportation",
Lazio Innova,Venture Capital,Roma,Italia,www.lazioinnova.it/innovaventure,5,7,15000000,15 Mln Euro (diretto) - 150Mln (fondo di fondi),34,150000,500000,Lazio,Early Stage,,"Lazio Innova is the in-house providing company of the Lazio Region, on whose behalf it manages programs aimed at financial support for the entrepreneurship and innovation of SMEs and startups in Lazio region. Lazio Innova is active in encouraging venture capital investments in favor of start-ups located in the regional territory and operates both as direct fund manager and manager of fund of funds publicly co-financed by EU and Lazio Region. The seven funds under management are: A) three direct funds - INNOVA Venture 2 (started in 2026)- TT Venture Lazio (started in 2026)- INNOVA Venture (closed in 2024 with investment in 36 startups)- POR 1.3 (closed in 2017 with investment in 33 startups)B) three fund of funds - LAZIO Venture 2 a 100M€ FoF started in 2025 and investing in VC Fund- VENTURE TECH Lazio a 20M€ FoF started in 2025 and investing in venture accelerators- LAZIO Venture a 44M€ FoF closed in 2019 with the investment in 4 VC Fund."
LIFTT,Venture Capital,Torino,Italia,https://www.liftt.com/,6,1,110,110M,58,50000,10000000,Worldwide,Early Stage,"Aerospace, Biotech, Chemicals and materials, Energy and environment, Healthcare, Mechanics, Medtech, Sustainability","LIFTT is a European Venture Capital Holding specializing in deep tech with a multi-vertical, hands-on approach to make technology and sustainability converge."
LigurCapital,,Genova,Italia,https://www.ligurcapital.it/,1,,,"31.436.000,00",190,50000,750000,Liguria,Early Stage,,"Ligurcapital is an in-house company of the Liguria Region, controlled by the regional financial holding FI.L.S.E. S.p.A.Within the system of regional shareholdings, Ligurcapital represents the primary instrument for the implementation of financial engineering interventions, including those carried out through innovative tools.Ligurcapital’s interventions are mainly equity-based, implemented through the acquisition of minority shareholdings in the capital of small and medium-sized enterprises in support of development projects.Ligurcapital also supports companies through the subscription of semi-equity instruments and/or debt instruments."
Lion River I NV,"Infrastrutture, Private Equity, Venture Capital",Milano,Italia,,,,,,,,,,,,Generali Group Company managing all new Group PE investments (multi bln € PE portfolio).
Macquarie – MAM,"Infrastrutture, Private Debt, Private Equity",London,Inghilterra,,,,,,,,,,,,
Mediocredito Centrale,,Roma,Italia,,,,,,,,,,,,
Merito SGR,,Milano,Italia,,,,,,,,,,,,
Mindful Capital Partners,Private Equity,Milano,Italia,http://www.mcpinvest.com,3,3,362200000,"362,2 Mln Euro",11,10000000,35000000,Italy,Buy Out,"Chemicals and materials, Consumer, Fashion, Food and Beverages, Healthcare, Industrial products and services, Medtech, Other manufacturing, Sustainability","Mindful Capital Partners S.A. (“MCP”) è un gestore indipendente di fondi di private equity e venture capital. Il team opera con continuità dal 2007, anno di lancio del primo fondo di PE consolidando nel tempo una piattaforma di investimento strutturata e solida, con un track record costruito su circa vent’anni di esperienza operativa: circa €800 milioni complessivamente raccolti, quattro fondi di PE lanciati, 27 investimenti realizzati e 18 exit completate. MCP è specializzato in investimenti in piccole e medie aziende italiane caratterizzate da un una forte vocazione all’export. La strategia per la creazione di valore si basa su tre pilastri distintivi: 1. l'espansione internazionale, 2. le aggregazioni industriali (buy-and-build) e 3. la transizione green e digitale. La società ha sede legale in Lussemburgo e una branch in Italia, a Milano, presso la quale è localizzato il team di investimento, così da assicurare un efficace presidio del mercato di riferimento."
MITO Technology,Venture Capital,Milano,Italia,http://www.mitotech.eu,5,2,95000000,95 milioni,24,200000,4000000,"Europe, Italy",Early Stage,"Energy and environment, Industrial products and services, Sustainability, Transportation","MITO Technology is the advisor to venture capital funds aiming to drive radical transformation in society toward a more sustainable future. We started as a platform to support public-to-private technology transfer, and over the last 15 years we have become an active player in the European innovation ecosystem — collaborating with multinationals, SMEs, universities, research centers, startups, spin-offs, banks, VC and PE funds. With a multidisciplinary team combining expertise in deep tech, technology transfer, innovation finance, and IP management, our model has evolved over time. In 2018, we sponsored and began advising Progress Tech Transfer (now MITO Tech Transfer) — the first VC fund in Italy entirely focused on sustainability technologies. Building on the success of the first, in 2024 we launched a more ambitious initiative: MITO Tech Ventures, one of the first early-stage climate tech funds in Europe compliant with Article 9 of the SFDR regulation. Both funds — MITO Tech Transfer and MITO Tech Ventures — are RAIFs (Reserved Alternative Investment Funds) under the laws of the Grand Duchy of Luxembourg, with an external AIFM."
Mittel,Private Equity,Milano,Italia,http://www.mittel.it,6,,,,12,10000000,50000000,Italy,"Buy Out, Expansion, Replacement","Food and Beverages, Furniture, Healthcare, Industrial products and services, Other manufacturing, Retail","Mittel acts as an investment partner of mid-sized enterprises and pursues a long-term approach(“permanent capital”) and active investment management with a limited use of financial leverage.By investing its own equity in majority stakes of distinctive Italian companies, Mittel is able, thanks to itsfinancial and managerial expertise and network, to support the growth and to implement build-up projectsin industrial and service sectors."
Montefiore Investment,Private Equity,Milano,Italia,,,,,,,,,,,,
Muzinich & Co.,Private Debt,Milano,Italia,,,,,,,,,,,,
Narval Investimenti,Private Equity,Torino,Italia,http://www.narvalinvestimenti.it,6,,300000000,300 Mln Euro,15,10000000,30000000,Italy,Buy Out,,"Narval Investimenti is an industrial holding company wholly owned by Giubergia and Argentero families, whose member founded and actively managed for over 80 years Ersel S.p.a., which operates in the wealth management industry with € 20 bn AUM.The NAV of the group's portfolio is composed by Private Equity / Real Estate / Liquid Asset. Private Equity direct investments are made in Italy, where the company can exploit its knowhow and network, while Private Equity indirect investments are chosen for geographical and sectoral diversification through commitments to international Private Equity funds with the intention to build solid long-term relationships with GPs.Participation in club deal operation is also carefully considered, mainly in Italy and without active involvement. In direct Private Equity investments, which exposure is expected to strongly grow, the company assumes the role of stable partner (without any defined exit) working closely with the invested company managers during the implementation and development of business plans. Our entrepreneurial imprinting comes from the historical family business and over 20 years of activity in Private Equity.The Management team, Investment Committee and Board of directors work closely together ensuring promptness and clarity in the decision-making process. The board features a balance of competencies, experience, company knowledge and independence."
Neva SGR,Venture Capital,Torino,Italia,https://www.nevasgr.com/,11,5,500000000,500 Mln Euro,48,,15000000,"Europe, Italy, United Kingdom, USA","Early Stage, Expansion","Aerospace, Agriculture, Biotech, Energy and environment, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Medtech, Other manufacturing","Neva SGR is Intesa Sanpaolo's venture capital company fully owned by Intesa Sanpaolo Innovation Center: it combines the leadership, expertise and network of an international team dedicated to venture capital with the reputation and industrial network of one of the largest European banking and insurance Groups.Neva invests globally in new category leaders focused on solving the greatest challenges of our time in four key areas: life science, climate tech & energy transition, digital transformation, and aerospace & manufacturing.Neva aspires to attract the best Italian founders, bridging them with the global VC ecosystem, and to invest in international founders that want to get access to the industrial and technological ecosystems in Italy."
Nextalia SGR,"Private Debt, Private Equity, Venture Capital",Milano,Italia,http://www.nextalia.com,19,7,2,€2.3+ mld,23,,,Italy,"Buy Out, Early Stage, Expansion, Non Performing Assets, Private Debt, Turnaround",,"Nextalia is a unique investment platform in the Italian market, promoted by Francesco Canzonieri together with leading Italian institutional investors and featuring a team of highly qualified professionals. As of April 2026, the firm manages €2.3+ billion across Private Equity, Private Credit and Venture Capital. Nextalia has developed a proprietary approach – ESGNext – to actively promote ESG factors throughout the investment and portfolio management process."
Oltre Impact SGR,Private Equity,Milano,Italia,,,,,,,,,,,,
Origine SGR,"Private Equity, Venture Capital",Milano,Italia,https://www.originesgr.com/,5,5,,76.345.942 Mln Euro,17,30000000,45000000,"Europe, Italy","Early Stage, Expansion","Aerospace, Healthcare, ICT, Industrial products and services, Other",
Overseas Industries,Private Equity,Milano,Italia,,3,1,,,6,5000000,25000000,Europe,All Stages,Other manufacturing,Do not invest in real estate.
Oxy Capital Italia,Private Debt,Milano,Italia,http://www.oxycapital.com,4,1,250000000,250 Mln Euro,4,10000000,200000000,Italy,"Private Debt, Turnaround",,Oxy Capital provides solutions to banks and entrepreneurs for the turnaround and restructuring of overleveraged companies that have potential for strategic and operational improvement. Oxy target companies with revenues between 50 and 500 Mln Euro and bank debt above 50 Mln Euro.
PAI SAS - Italian Branch,Private Equity,Milano,Italia,http://www.paipartners.com,120,8,26400000000,26.4 Bln Euro,34,250000000,1500000000,"Europe, USA",Buy Out,"Food and Beverages, Healthcare, Industrial products and services, Other manufacturing","PAI partners is focused on four core business sectors: Business Services, Food & Consumer, General Industrials, Healthcare."
Palladio Holding,Private Equity,Milano,Italia,,,,,,,,,,,,
Partners Group (EU) GmbH,Milan Branch,Private,Equity,,http://www.partnersgroup.com,,,,,,,,Worldwide,All Stages,
Permira Associati,Private Equity,Milano,Italia,http://www.permira.com,11,9,,C. EUR 80bn,80,,,"Asia, Europe, USA",Buy Out,"Agriculture, Consumer, Energy and environment, Fashion, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Retail, Sustainability","Permira is a global investment firm that backs successful businesses with growth ambitions. Founded in 1985, the firm advises funds with total committed capital of approximately €80bn and makes long-term majority and minority investments across two core asset classes, private equity and credit. The Permira private equity funds have made approximately 300 private equity investments in four key sectors: Technology, Consumer, Healthcare and Services. Permira employs over 700 people in 15 offices across Europe, the United States and Asia. For more information, visit www.permira.com."
Pillarstone,"Private Debt, Private Equity",Milano,Italia,http://www.pillarstone.com,7,5,1100000000,EUR 1.1 bn,7,,,Italy,"Private Debt, Turnaround",,"Pillarstone offers operational, industrial and financial support and capabilities to companies experiencing financial distress with a view to reversing the negative trend and reestablishing conditions for a stable and long-term growth."
PM&PARTNERS SGR,Private Equity,Milano,Italia,http://www.pm-partners.it,10,2,330000000,330 Mln Euro,7,10000000,30000000,Italy,Buy Out,"Consumer, Food and Beverages, ICT, Industrial products and services, Other manufacturing","PM & Partners is an independent private equity firm with a long-standing team, focused on Italian mid-sized companies. It invests through buyout and growth deals, combining hands-on value creation. PM & Partners has completed 50+ platform & add on investments and raised €700M+ across 3 funds."
Polis SGR – Gruppo LBO France,Private Equity,Milano,Italia,,3,,,,,7000000,25000000,Italy,Buy Out,,
Portobello Capital,Private Equity,Madrid,Spagna,http://www.portobellocapital.es/en/,20,12,3700000000,3.7 Bln Euro,26,30000000,250000000,Europe,Buy Out,"Food and Beverages, Healthcare, Industrial products and services, Other manufacturing","Portobello Capital was founded in 2010 and is today one of the largest private equity firm in Spain with Assets Under Management of c.€3.7 billion, 26 portfolio companies (2 of which in Italy) and an experienced team helping SMEs unlocking value by means of strategy definition, consolidation, internazionalization, operational efficiency and financial discipline. Portobello invests in companies operating in growing market niches, with an investment approach based on partnership with ambitious entrepreneurs and management teams"
Prana Ventures,Venture Capital,Milano,Italia,http://www.pranaventures.it,3,1,37600000,37.6 Mln Euro,20,250000,3500000,Europe,Early Stage,ICT,"PranaVentures is the first Italian Operational Venture Capital, focused on supporting the entrepreneurs in the seed and post seed stage with a data-driven approach. We invest in teams that have the ambition to solve real problems through technology and we support them in an exclusive way with our operational partner and advisors in the following area: Marketing & Branding, IT & Product, Business Intelligence, Recruiting and Finance."
Private Equity Partners,Private Equity,Milano,Italia,http://www.privateequitypartners.com,1,,,,6,,,Italy,"Buy Out, Expansion",,"Private Equity Partners S.p.A. is an Italian primary independent financial company operating since 1989. The company offers investment and advisory services on risk capital (private equity and venture capital) and aims at actively supporting the growth and development of its investee and assisted companies within an industrial and long-term view.With over 70 investment operations realized and having supported, also in the role of  advisor, many companies in their listing processes both in Italy and abroad, Private Equity Partners provides its investee companies a highly customized, professional, qualified and reliable support, in order to help them in their international development and growth strategies.In particular referring to the investment activity, Private Equity Partners operates both by directly using its own capital and through structured co-investment agreements and strategic partnerships with Italian and international first class investors and operators. Moreover, Private Equity Partners provides professional and specialized advisory and support services on private equity, venture capital and investments, supporting entrepreneurs, companies, national and international investors or managers with the identification of the best solutions for their particular needs. The services offered include, among others, preparing, coordinating and managing listings, partnerships, investments or strategic aggregations."
Progressio SGR,Private Equity,Milano,Italia,http://www.progressiosgr.it,16,2,585000000,585 Mln Euro,6,15000000,50000000,Italy,Buy Out,,
Quadrivio Group,Private Equity,Milano,Italia,http://www.quadriviogroup.com,60,5,1,1 billion,28,10000000,50000000,Europe,Buy Out,"Fashion, Food and Beverages, Furniture, Healthcare, Industrial products and services",
Quant>ICO Investment Club Opportunities,Private Equity,Milano,Italia,https://quanticoclub.com/,8,,,,,40000000,100000000,"Europe, Italy","Buy Out, Expansion",,"Quant>ICO Investment Club Opportunities is an independent Italian club deal company focused on investing in small and mid-sized Italian enterprises, with a particular emphasis on highly fragmented sectors. The platform operates in partnership with UniCredit, which acts as Quant>ICO’s exclusive partner for fundraising activities and supports proprietary target origination through its Wealth Management & Private Banking and Corporate & Investment Banking network. Quant>ICO aggregates capital from a network of entrepreneurs, family offices and high-net-worth individuals and adopts a flexible, deal-by-deal investment approach, enabling both minority and majority equity investments. The platform pursues an active value creation strategy aimed at supporting entrepreneurs in scaling their businesses, professionalizing governance and executing organic growth and buy-and-build strategies"
QuattroR,Private Equity,Milano,Italia,http://quattror.com,15,2,974000000,974 Mln Euro,8,20000000,105000000,Italy,Expansion,,"QuattroR SGR is a private equity firm, based in Milan, focusing on investments in mid-sized Italian companies with solid and sound business fundamentals. QuattroR currently manages two funds: QuattroR I (710+ Mln Euro) and QuattroR MidCap (Target size: 260 Mln Eur, interim closing 150 Mln Eur). QuattroR is the ""Money-in"" partner for Italian companies. QuattroR invests as a controlling shareholder with a clear leadership and strategic direction and undertakes equity risk mainly through capital increases."
Radical Partners,Venture Capital,Milano,Italia,www.radicalpartners.eu,4,1,80000000,Fundraising - First Closing €80 Mln - Target Final Closing €400 Mln,,,,"Europe, Italy, Worldwide",Early Stage,"Cleantech, Deep Tech, Healthcare","Radical Fund of Funds is an Italian closed-end alternative investment fund dedicated to professional investors.It stands as the first of a kind fully private and independent Italian fund-of-funds focused on venture capital, representing a new market benchmark in the allocation of institutional capital to innovation.The Fund is managed by Funder S.A. as external AIFM, with the strategic support of Radical Partners, which acts as promoter and exclusive advisor of the Fund, combining institutional oversight with deep expertise and privileged access within the venture capital ecosystem.The investment strategy is designed with a 70% allocation to Italy and 30% to the broader EU and Rest-of-World markets, with a 70% focus on Early stage opportunities and 30% on Growth stage investments, targeting high-potential GPs in AI and Computing Innovation, Deep Tech, Cleantech and Healthcare.Radical Fund of Funds is a fund governed by Italian law and structured in accordance with the new regulations on tax incentives for social security institutions in relation to their investments in funds that qualify as ‘venture capital funds’ under Law 232/2016."
Rancilio Cube Sicaf,Venture Capital,Milano,Italia,http://www.ranciliocubesicaf.com,4,1,64000000,64 Mln Euro,120,1000000,5000000,,Early Stage,,
Real Estate Asset Management SGR - REAM SGR,Infrastrutture,Torino,Italia,http://www.reamsgr.it,3,16,1500000000,1.5 Bln Euro,,100000,300000000,Italy,Real Estate,,
Renaissance Partners,Private Equity,Milano,Italia,https://www.renaissancealternatives.com,34,4,3500000000,3.5 Bln Euro,13,50000000,300000000,Italy,Buy Out,"Healthcare, ICT, Industrial products and services, Sustainability","Renaissance Partners is a private equity firm specializing in investments in Italian mid-market companies, with a long-standing track record of partnering with entrepreneurs and management teams. The firm focuses on accelerating growth and international expansion, supporting the development of Italian companies into global leaders through a strategic and industrial approach to value creation, combining organic initiatives, buy-and-build strategies and operational improvements. It invests in resilient and fast-growing sectors through four key themes: IT & Professional Services, Healthcare & Wellbeing, Environmental Sustainability, and Specialized Industrials.Renaissance Partners manages over €3.5 billion of commitments and is currently invested in 13 companies, with more than €6 billion in aggregate revenues and approximately 24,000 employees globally. Across its track record, the firm has completed over 55 platform investments and more than 100 add-on acquisitions."
Riello Investimenti SGR,"Private Debt, Private Equity, Venture Capital",Milano,Italia,http://www.rielloinvestimenti.it,20,5,450000000,450 Mln Euro,52,1000000,20000000,Italy,"Buy Out, Expansion, Impact Investing, Private Debt, Replacement","Fashion, Food and Beverages, Furniture, Industrial products and services, Mechanics, Other","Buy&Build Opportunities private equity fund: focused majority stakes of Italian not-listed Small & Medium Enterprise. The Fund aims to create an aggregation platform through investments in 6-8 leader companies to be aggregated with other companies in the same segment, in order to accelerate their growth process and value creation. Italian Strategy private equity fund: focused on equity side investments, mostly by acquiring majority stakes of Italian not-listed Small & Medium Enterprises.IMPRESA ITALIA private debt fund and IMPRESA ITALIA II private debt fund: focused on senior debt instruments issued by Italian Small & Medium Enterprises which aim to finance specific business needs.Linfa Fund: focused on agrifoodtech sector, investing in Late State-Growth companies with environmental positive impact"
Ring Capital,"Private Equity, Venture Capital",Paris,Francia,https://www.ringcp.com/,15,3,,500.000.000,50,8000000,20000000,"Europe, France, Italy, Spain","Buy Out, Early Stage, Expansion, Impact Investing","Agriculture, Construction, Consumer, Energy and environment, Healthcare, ICT, Industrial products and services, Sustainability, Transportation","Ring Capital is a french management company (with offices in Paris and Milan) that financially and operationally supports European impact companies, through 3 strategies:- Altitude, an impact growth fund investing in mature and profitable companies in Europe, ticket €8-20M - Mission, a VC impact fund supporting start-ups with high impact and growth potential, ticket €500k-3M- Generations, an impact pre-seed and seed fund created with EDHEC Business School, ticket €150k-1M"
Rivean Capital,Private Equity,Milano,Italia,https://riveancapital.com/,50,9,5000000000,5 Bln Euro,30,50000000,300000000,Europe,Buy Out,"Financial and insurance activities, ICT, Industrial products and services","A pioneer in European mid-market private equity, Rivean Capital has been partnering with management teams to cultivate differentiated opportunities for over 40 years. With €5 billion under management, Rivean has executed over 250 transactions, compelling businesses with complex opportunity sets and helping to execute creative growth solutions for aspiring business leaders. The firm has offices in Belgium, Germany, Italy, the Netherlands, and Switzerland, creating a distinctly local presence that allows for alignment and engagement with management teams while maintaining a global reach for international M&A, organic growth initiatives, and structural enhancements to bolster winning platforms."
RiverRock European Capital Partners,,London,Inghilterra,https://www.riverrock.eu/,,,,,,125000,,Europe,Private Debt,,
Sagard,,Milano,Italia,https://www.sagard.com/midcap/,5,3,,€ 2.000.000.000,16,50000000,150000000,"France, Italy",Buy Out,"Agriculture, Biotech, Chemicals and materials, Construction, Consumer, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other, Other manufacturing, Retail, Sustainability, Transportation",
Sagitta SGR,Private Debt,Milano,Italia,http://www.sagittasgr.it,11,22,2521000,2.521 Mln Euro,,,,Italy,"Infrastructure, Non Performing Assets, Private Debt, Real Estate, Turnaround",Other,"Sagitta SGR S.p.A., part of Arrow Global Group, is an asset management company specializing in the management of illiquid, securities (NPL&UTP), real estate and credit alternative assets. Sagitta SGR's funds are aimed at institutional investors and are characterized by particularly attractive risk/return profiles. To date, it manages assets for more than 2.5 billion euros with specific focus on distressed assets, non-performing loans, real estate and direct lending."
Scientifica Venture Capital,Venture Capital,Roma,Italia,https://scientifica.vc/,2,2,200000000,€200mln,23,200000,5000000,"Europe, Italy, USA","Early Stage, Impact Investing","Aerospace, Biotech, Chemicals and materials, Energy and environment, Healthcare, ICT, Mechanics, Medtech, Other manufacturing, Sustainability",
Sefea Impact SGR,Venture Capital,Padova,Italia,http://www.sefeaimpact.it,8,2,79100000,79.1 mln,38,300000,2000000,Italy,"Expansion, Impact Investing",Sustainability,"The company is adopting exclusively an impact investment strategy for all its Funds. Indeed, its Missionis to spread an impact investing approach capable of generating positive changes for the wellbeing of thecommunities, by placing among its investment criteria, alongside a fair economic return, the expansionof people’s capabilities, of the “social capital” and the environmental sustainability as fundamentalopportunities to create value. The first Fund launched by Sefea Impact SGR SpA is the “Social Impact Fund”,which is targeting social entrepreneurship and is aiming at selecting, enhancing and modelling businessesproducing goods and services with a social perspective, thus promoting the future leading actors in theprovision of solutions to the needs of society."
Sienna Private Equity,Private Equity,Milano,Italia,https://www.sienna-pe.com/,10,1,,400.000.000,3,25000000,100000000,"France, Italy",Buy Out,,"Sienna Private Equity is the dedicated private equity arm focusing on value-oriented opportunities within the European mid-market, combining the team’s versatile private equity and special situations skillset, with unique networks and strong backing from GBL. Sienna Private Equity is pursuing its distinctive all-weather investment strategy focusing on developing, fixing or improving established companies in value-oriented private equity opportunities and building sector leaders in buy-and-build platforms.Sienna Private Equity, based in Milan and Paris, focuses on selected sectors within the European mid-market supported by positive mega trends, for which the team can bring its active contribution to building stronger companies and promising projects."
Simest,Private Equity,Milano,Italia,http://www.simest.it,27,,888500000,888.5 Mln Euro,205,1000000,15000000,,Expansion,,"SIMEST is the Cassa Depositi e Prestiti Group company that since 1991 has supported Italian companies as they grow through internationalization. SIMEST’s mission is to support companies at every stage of the internationalization process, from the initial decision to enter a new market to expansion through direct investments. It operates through loans for internationalization, export credit assistance and equity investments in companies."
Sinloc Investimenti SGR,Infrastrutture,Padova,Italia,http://www.sinlocinvestimentisgr.com,3,2,100,100,10,5000000,12000000,Italy,"Impact Investing, Infrastructure, Real Estate","Energy and environment, Other, Sustainability",
Siryo,Venture Capital,Bari,Italia,http://www.siryo.it/it/,3,1,50000000,€ 50 milioni,8,500000,10000000,"Europe, Italy","Early Stage, Expansion","Biotech, Chemicals and materials, Energy and environment, Healthcare, Sustainability","Siryo is a company focused on disruptive technologies in materials science aimed at improving human health and the environment (One Health), with a focus on: Food/Health, Biomaterials, Energy, and Environment."
Smart Capital,Private Equity,Monza,Italia,,,,,,,,,,,,
Sofinnova Partners,Venture Capital,Milano,Italia,https://sofinnovapartners.com/,80,7,4000000000,4 Bln Euro,100,100000,30000000,"Europe, USA",Early Stage,"Biotech, Healthcare, Medtech, Sustainability","Sofinnova Partners is a leading European venture capital firm in life sciences, specializing in healthcare andsustainability. Based in Paris, London and Milan, the firm brings together a team of professionals from allover the world with strong scientific, medical and business expertise. Sofinnova Partners is a handsoncompany builder across the entire value chain of life sciences investments, from seed to later-stage. The firmactively partners with ambitious entrepreneurs as a lead or cornerstone investor to develop transformativeinnovations that have the potential to positively impact our collective future. Founded in 1972, SofinnovaPartners is a deeply established venture capital firm in Europe, with 50 years of experience backing over 500companies and creating market leaders around the globe. Today, Sofinnova Partners has over 4 Bln Eurounder management. For more information, please visit: sofinnovapartners.com.Other offices: 7-11 Bd Haussmann, 75009 Paris, France1, Pancras Square – London N1C 4AG UK"
Square Capital Club,Private Equity,Milano,Italia,,4,1,,,,,,Italy,"Buy Out, Expansion, Replacement","Aerospace, Agriculture, Chemicals and materials, Consumer, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other manufacturing, Retail, Sustainability, Transportation",
Star Capital SGR,Private Equity,Milano,Italia,http://www.starcapital.it,5,3,297700000,297.7 Mln Euro,8,10000000,28000000,Italy,Buy Out,"Fashion, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Retail",The company manages following funds: STAR Bridge Social Responsible Fund
Star Tech Ventures,Venture Capital,Milano,Italia,https://startechventures.eu/,3,1,,,12,100000,10000000,"Europe, USA",Early Stage,ICT,
Style Capital SGR,Private Equity,Milano,Italia,http://www.stylecapital.it,12,2,600000000,600 Mln Euro,8,20000000,70000000,"Italy, Worldwide","Buy Out, Expansion, Replacement","Fashion, Food and Beverages, Furniture, Retail","We invest in the Lifestyle sectors, supporting the growth of companies operating in their areas of excellence.We cater to enterprises operating in the global market, whose distinguishing features are creativity, design,product quality and inimitability, selective distribution and innovation. Particular focus is placed on Fashion& Luxury Brands. Our purpose is to invest in the equity of Italian or foreign companies, taking majority orminority stakes, through capital increases, share purchases and soft LBO."
Suma Capital,,Milano,Italia,https://sumacapital.com/,5,4,1300000000,€1.3bn,,20000000,80000000,"Europe, France, Italy, Spain","Impact Investing, Infrastructure","Energy and environment, Transportation",
Sviluppo Imprese Centro Italia SGR,"Private Debt, Private Equity, Venture Capital",Firenze,Italia,http://www.fondisici.it,3,4,77200000,77.2 Mln Euro,29,200000,2500000,Central Italy,All Stages,,
